Date,Weighted,Volume
2011-09-24 03:09:00,5.452869,97847.53
2011-09-25 03:09:00,5.405996,51288.09
2011-09-26 03:09:00,4.957652,277987.41
2011-09-27 03:09:00,4.9244,121363.66
2011-09-28 03:09:00,4.770932,146110.79
2011-09-29 03:09:00,4.741216,66817.43
2011-09-30 03:09:00,5.017932,208038.79
2011-10-01 03:10:00,5.05234,118531.63
2011-10-02 03:10:00,4.984851,52128.13
2011-10-03 03:10:00,4.9673,85880.89
2011-10-04 03:10:00,4.962679,78377.78
2011-10-05 03:10:00,4.896242,86107.56
2011-10-06 03:10:00,4.687004,256723.57
2011-10-07 03:10:00,4.289143,418394.5
2011-10-08 03:10:00,4.03051,159656.31
2011-10-09 03:10:00,4.186759,158762.15
2011-10-10 03:10:00,4.104137,69188.53
2011-10-11 03:10:00,3.947748,162268.54
2011-10-12 03:10:00,4.070495,282490.41
2011-10-13 03:10:00,4.078789,80377.3
2011-10-14 03:10:00,4.012264,80464.14
2011-10-15 03:10:00,3.892656,163851.32
2011-10-16 03:10:00,3.638421,131714.03
2011-10-17 03:10:00,2.85355,591902.27
2011-10-18 03:10:00,2.615853,229826.44
2011-10-19 03:10:00,2.280716,232324.75
2011-10-20 03:10:00,2.313699,113046.14
2011-10-21 03:10:00,2.539188,185287.39
2011-10-22 03:10:00,3.005224,361119.44
2011-10-23 03:10:00,3.081207,114141.14
2011-10-24 03:10:00,2.806283,258830.28
2011-10-25 03:10:00,2.742859,278159.07
2011-10-26 03:10:00,2.750853,80877.1
2011-10-27 03:10:00,2.918633,171312.37
2011-10-28 03:10:00,3.108917,162799.02
2011-10-29 03:10:00,3.544729,281957.99
2011-10-30 03:10:00,3.382107,171427.93
2011-10-31 02:10:00,3.186376,98715.6
2011-11-01 02:11:00,3.185982,120727.9
2011-11-02 02:11:00,3.234874,104522.19
2011-11-03 02:11:00,3.211861,78756.92
2011-11-04 02:11:00,3.127411,123573.79
2011-11-05 02:11:00,3.012809,159571.85
2011-11-06 02:11:00,2.961716,51037.09
2011-11-07 02:11:00,2.99935,71961.1
2011-11-08 02:11:00,3.089998,186440.21
2011-11-09 02:11:00,3.001344,156655.47
2011-11-10 02:11:00,2.870588,97395.49
2011-11-11 02:11:00,2.972188,133312.05
2011-11-12 02:11:00,3.057708,62326.05
2011-11-13 02:11:00,3.001354,28888.03
2011-11-14 02:11:00,2.505827,957693.93
2011-11-15 02:11:00,2.296767,175520.98
2011-11-16 02:11:00,2.457759,108654.69
2011-11-17 02:11:00,2.225846,261039.94
2011-11-18 02:11:00,2.141175,210125.46
2011-11-19 02:11:00,2.168628,169806.11
2011-11-20 02:11:00,2.282875,182015.99
2011-11-21 02:11:00,2.2335,93197.44
2011-11-22 02:11:00,2.307461,78934.49
2011-11-23 02:11:00,2.323992,92955.46
2011-11-24 02:11:00,2.424334,211558.58
2011-11-25 02:11:00,2.468031,109592.19
2011-11-26 02:11:00,2.481327,89621.87
2011-11-27 02:11:00,2.456665,55832.77
2011-11-28 02:11:00,2.506175,103409.13
2011-11-29 02:11:00,2.791256,503908.53
2011-11-30 02:11:00,2.911986,349861.49
2011-12-01 02:12:00,3.053612,195016.15
2011-12-02 02:12:00,3.09624,178018
2011-12-03 02:12:00,2.934284,360981.81
2011-12-04 02:12:00,2.748781,261745.73
2011-12-05 02:12:00,2.871246,88678.38
2011-12-06 02:12:00,2.97694,165517.79
2011-12-07 02:12:00,2.997161,174201.54
2011-12-08 02:12:00,2.950502,117824.45
2011-12-09 02:12:00,2.989953,102810.85
2011-12-10 02:12:00,3.036678,225642.57
2011-12-11 02:12:00,3.201282,346453.23
2011-12-12 02:12:00,3.181462,126940.32
2011-12-13 02:12:00,3.212967,104930.82
2011-12-14 02:12:00,3.117857,225975.05
2011-12-15 02:12:00,3.170621,95417.41
2011-12-16 02:12:00,3.184435,95114.72
2011-12-17 02:12:00,3.190916,52586.17
2011-12-18 02:12:00,3.200249,34542.59
2011-12-19 02:12:00,3.407214,476965.51
2011-12-20 02:12:00,3.965624,739231.72
2011-12-21 02:12:00,3.927951,191659.23
2011-12-22 02:12:00,3.785577,216558.95
2011-12-23 02:12:00,3.904588,80030.54
2011-12-24 02:12:00,3.921888,58567.87
2011-12-25 02:12:00,4.13997,334511.38
2011-12-26 02:12:00,4.036441,358539.93
2011-12-27 02:12:00,4.028626,121501.17
2011-12-28 02:12:00,4.138331,140029.63
2011-12-29 02:12:00,4.215433,223710.01
2011-12-30 02:12:00,4.191011,172118.96
2011-12-31 02:12:00,4.595985,596240.41
2012-01-01 02:01:00,5.096757,553045.14
2012-01-02 02:01:00,5.21117,360357.28
2012-01-03 02:01:00,4.946627,619170.54
2012-01-04 02:01:00,5.25054,688717.86
2012-01-05 02:01:00,6.201034,1130623.29
2012-01-06 02:01:00,6.792668,1481327.88
2012-01-07 02:01:00,6.717715,325053.98
2012-01-08 02:01:00,7.048899,403151.44
2012-01-09 02:01:00,6.472695,960592.31
2012-01-10 02:01:00,6.397377,705056.48
2012-01-11 02:01:00,6.814448,677642.84
2012-01-12 02:01:00,6.738434,944165.94
2012-01-13 02:01:00,6.613321,398312.18
2012-01-14 02:01:00,6.590675,935192.51
2012-01-15 02:01:00,6.904674,429700.86
2012-01-16 02:01:00,6.826747,837413.61
2012-01-17 02:01:00,6.037862,1288538.97
2012-01-18 02:01:00,5.976476,1354753.44
2012-01-19 02:01:00,6.181001,709705.27
2012-01-20 02:01:00,6.435488,429803.56
2012-01-21 02:01:00,6.286377,407116.4
2012-01-22 02:01:00,6.287139,282233.76
2012-01-23 02:01:00,6.309288,111630.55
2012-01-24 02:01:00,6.299669,224665.59
2012-01-25 02:01:00,5.875012,782053.65
2012-01-26 02:01:00,5.587751,692624.73
2012-01-27 02:01:00,5.291967,611581.18
2012-01-28 02:01:00,5.572317,499881.49
2012-01-29 02:01:00,5.480394,254457.17
2012-01-30 02:01:00,5.512113,233179.7
2012-01-31 02:01:00,5.530389,267099.31
2012-02-01 02:02:00,5.822451,672632.58
2012-02-02 02:02:00,6.026381,328716.58
2012-02-03 02:02:00,5.918009,350818.69
2012-02-04 02:02:00,5.920166,122071.46
2012-02-05 02:02:00,5.675864,683010.86
2012-02-06 02:02:00,5.547308,500693.58
2012-02-07 02:02:00,5.620116,408854.24
2012-02-08 02:02:00,5.640037,1342007.99
2012-02-09 02:02:00,5.746947,516915.55
2012-02-10 02:02:00,5.876313,230967.96
2012-02-11 02:02:00,5.70479,397688.29
2012-02-12 02:02:00,5.60328,459004.75
2012-02-13 02:02:00,5.343383,909500.32
2012-02-14 02:02:00,4.702875,1399443.95
2012-02-15 02:02:00,4.583664,741639.35
2012-02-16 02:02:00,4.188723,697818.37
2012-02-17 02:02:00,4.459336,606244.08
2012-02-18 02:02:00,4.273823,300903.53
2012-02-19 02:02:00,4.350175,271300.43
2012-02-20 02:02:00,4.36846,162939.76
2012-02-21 02:02:00,4.305717,222970.81
2012-02-22 02:02:00,4.436494,460671.29
2012-02-23 02:02:00,4.823592,792557.08
2012-02-24 02:02:00,4.975027,446896.98
2012-02-25 02:02:00,4.876921,420213.07
2012-02-26 02:02:00,4.956018,347092.76
2012-02-27 02:02:00,4.946566,145288.76
2012-02-28 02:02:00,4.866323,305075.07
2012-02-29 02:02:00,4.864114,129089.93
2012-03-01 02:03:00,4.937369,218150.92
2012-03-02 02:03:00,4.689893,613272.66
2012-03-03 02:03:00,4.68238,187646.64
2012-03-04 02:03:00,4.813206,283142.41
2012-03-05 02:03:00,4.945096,325526.7
2012-03-06 02:03:00,4.975703,221579.34
2012-03-07 02:03:00,4.930862,227645.86
2012-03-08 02:03:00,4.873416,283093.81
2012-03-09 02:03:00,4.896486,160227.85
2012-03-10 02:03:00,4.824461,135426.18
2012-03-11 02:03:00,4.914286,208576.68
2012-03-12 02:03:00,4.907395,108198.98
2012-03-13 02:03:00,5.15746,656673.85
2012-03-14 02:03:00,5.370064,337721.85
2012-03-15 02:03:00,5.332925,219063.81
2012-03-16 02:03:00,5.348094,174983.16
2012-03-17 02:03:00,5.317502,207915.56
2012-03-18 02:03:00,5.263604,120310.25
2012-03-19 02:03:00,4.884994,922722.01
2012-03-20 02:03:00,4.794194,318065.31
2012-03-21 02:03:00,4.815258,223605.57
2012-03-22 02:03:00,4.756798,276226.9
2012-03-23 02:03:00,4.698504,254329.72
