Date,Open,High,Low,Close,Weighted,Volume
2013-08-09 07:08:00,105.53,138.32,93.51,110.16,109.657801,2473.88
2013-08-09 11:08:00,110.16,119.48,103.39,104.1,105.066743,732
2013-08-09 15:08:00,104.1,110.2,100.39,105.35,105.884355,6097.88
2013-08-09 19:08:00,105.35,123.84,98.72,103.22,105.33181,29049.46
2013-08-09 23:08:00,103.22,135.95,82.7,105.06,103.939946,35134.82
2013-08-10 03:08:00,105.06,144.51,87.68,100.35,104.402087,9303.27
2013-08-10 07:08:00,100.35,137.73,81.99,137.73,94.855658,1642.9
2013-08-10 11:08:00,137.73,137.73,97.36,97.36,103.300242,1279.89
2013-08-10 15:08:00,97.36,143.78,97.36,105.64,108.132294,5133.04
2013-08-10 19:08:00,105.64,139.04,95.04,101.51,102.943255,22404.57
2013-08-10 23:08:00,101.51,136.99,82.4,104.04,102.847845,20541.8
2013-08-11 03:08:00,104.04,143.27,87.5,117.21,111.595955,6786.15
2013-08-11 07:08:00,117.21,137.65,93.15,109.07,111.079349,5459.55
2013-08-11 11:08:00,109.07,134.14,102.92,134.14,110.803324,1200
2013-08-11 15:08:00,134.14,134.14,96.68,107.1,104.326593,1702.61
2013-08-11 19:08:00,107.1,146.16,99.15,105.06,107.490932,5986.17
2013-08-11 23:08:00,105.06,146.4,91.27,91.27,110.116518,12106.21
2013-08-12 03:08:00,91.27,129.27,91.27,111.46,110.780475,2190.13
2013-08-12 07:08:00,111.46,138.87,96.54,102.44,105.720974,3951.85
2013-08-12 11:08:00,102.44,145.88,101.63,145.88,110.706289,1760.23
2013-08-12 15:08:00,145.88,145.88,97.83,108.18,107.221828,13301.94
2013-08-12 19:08:00,108.18,146.97,96.45,107.36,106.020828,53703.79
2013-08-12 23:08:00,107.36,147.54,87.06,105.19,107.497845,25438.29
2013-08-13 03:08:00,105.19,141.53,89.74,89.74,108.348511,8114.22
2013-08-13 07:08:00,89.74,149.25,89.74,142.3,107.384831,9174.96
2013-08-13 11:08:00,142.3,142.3,101.55,119.26,108.120438,1185
2013-08-13 15:08:00,119.26,121.2,97.22,97.22,108.361692,11043.14
2013-08-13 19:08:00,97.22,152.68,86.53,86.53,107.125738,37947.15
2013-08-13 23:08:00,86.53,151.34,86.53,119.46,110.956018,34839.08
2013-08-14 03:08:00,119.46,144.96,85.86,100.16,92.660915,37268.22
2013-08-14 07:08:00,100.16,135.97,100.16,101.6,115.575356,3404.85
2013-08-14 11:08:00,101.6,159.17,100.34,134.64,110.66319,1803.81
2013-08-14 15:08:00,134.64,156.81,99.59,105.07,110.637478,8035.6
2013-08-14 19:08:00,105.07,148.67,99.52,106.12,110.988411,37637.28
2013-08-14 23:08:00,106.12,150.29,92.07,119,112.392369,33963.85
2013-08-15 03:08:00,119,149.76,101.29,117.55,115.798708,9860.26
2013-08-15 07:08:00,117.55,148.95,100.4,104.95,105.16054,5292.73
2013-08-15 11:08:00,104.95,133.22,102.04,133.22,107.322739,3275.49
2013-08-15 15:08:00,133.22,134.84,91.04,105.94,108.837773,8171.54
2013-08-15 19:08:00,105.94,148.23,96.86,101.23,108.208071,49150.27
2013-08-15 23:08:00,101.23,149.97,90.13,109.34,109.844664,40505.22
2013-08-16 03:08:00,109.34,142.31,98.18,114.03,105.191588,12079.15
2013-08-16 07:08:00,114.03,144.63,102.84,141.18,113.809703,4527.35
2013-08-16 11:08:00,141.18,143.51,104.59,114.22,111.934982,1222.33
2013-08-16 15:08:00,114.22,152.31,90.19,120.97,115.136591,14253.91
2013-08-16 19:08:00,120.97,132.08,100.01,102.25,107.933156,38042.12
2013-08-16 23:08:00,102.25,143.33,96.29,112.74,108.164118,35998.1
2013-08-17 03:08:00,112.74,142.67,99.57,142.41,109.234644,10670.04
2013-08-17 07:08:00,142.41,142.41,93.5,131.34,107.020032,3365.78
2013-08-17 11:08:00,131.34,131.34,104.17,104.17,104.166667,1000
2013-08-17 15:08:00,104.17,117.9,103.45,107.91,108.565513,14235.11
2013-08-17 19:08:00,107.91,147.88,97.05,97.25,111.428886,16186.16
2013-08-17 23:08:00,97.25,147.24,87.2,135.85,112.819334,12020.9
2013-08-18 03:08:00,135.85,147.49,94.44,103.29,109.955707,11444.19
2013-08-18 07:08:00,103.29,146.86,103.29,145.95,130.167398,2371.65
2013-08-18 11:08:00,145.95,145.95,107.46,107.46,116.835586,830
2013-08-18 15:08:00,107.46,119.02,95.43,111.17,112.563134,5215.05
2013-08-18 19:08:00,111.17,155.83,94.65,113.09,116.552822,4026.9
2013-08-18 23:08:00,113.09,148.3,90.76,115.08,112.977013,9780.42
2013-08-19 03:08:00,115.08,147.47,95.13,106,109.389029,17290.03
2013-08-19 07:08:00,106,160.58,90.92,119.12,110.407899,3326.59
2013-08-19 11:08:00,119.12,145.2,110.5,124,118.242857,1407.09
2013-08-19 15:08:00,124,167.79,93.6,119.27,112.622321,20020.87
2013-08-19 19:08:00,109.48,152.65,95.59,109,113.651374,75504.29
2013-08-19 23:08:00,102.98,154.29,96.02,123.61,111.200881,67141.98
2013-08-20 03:08:00,106.65,155.06,104.06,107.39,114.930442,12772.22
2013-08-20 07:08:00,137.91,158.97,101.78,158.97,113.086152,3176.59
2013-08-20 11:08:00,111.45,158.97,101.57,123.22,117.333063,1447.89
2013-08-20 15:08:00,123.22,141.01,99.55,103.95,115.048898,12164.12
2013-08-20 19:08:00,103.95,156.52,99.96,112.82,114.861918,51848.67
2013-08-20 23:08:00,112.82,142.53,88.86,122.2,113.545723,41546.38
2013-08-21 03:08:00,122.2,159.74,94.49,116.9,122.032923,11898.21
2013-08-21 07:08:00,116.9,160.02,108.96,160.02,141.392483,3235.06
2013-08-21 11:08:00,160.02,160.02,116.12,116.12,119.355067,1182.57
2013-08-21 15:08:00,116.12,159.81,105.46,121.07,117.331262,10006.01
2013-08-21 19:08:00,121.07,168.14,97.73,116.21,117.410836,49280.85
2013-08-21 23:08:00,116.21,169.14,93.61,165.75,121.64823,46979.33
